y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
90.84548892490544,430.0267423014587,404.6420157139839,3.1263246787175687,0.350030540775914,12.13270225398493,5795.0,0.2001104954605709,0,12
102.12086637014116,443.2270353896732,565.2090392374421,3.37878189377031,0.1275306280210659,10.383844271428543,7706.0,0.0688002808491564,0,13
220.15696166042088,347.24560392043816,758.348542686013,3.2355183265073,0.3513399438772391,18.363008816842058,6356.0,0.1282523710795884,0,40
268.2400410677618,257.99096509240246,532.3086484406001,3.4946424233891413,0.0821392731655704,8.307075417142835,8817.0,0.0498015409662583,0,45
273.32109046907254,922.7104420243434,1535.606612308417,3.465632083338209,0.0272443068231904,23.17236826887212,12429.0,0.0262420464471439,0,47
296.31115713176285,461.8115454310122,844.479798326915,3.4495738762226087,0.0837675476422172,14.53738197999996,10117.0,0.0376394732734942,0,54
300.82663104611925,7.706130483689539,777.3673732463137,3.469921372410139,0.014657863206743,12.460613125714252,10234.0,0.0368299884197437,0,55
314.3439242859557,69.84434679736353,1293.4990853482673,3.441267025763338,0.005892641971773,20.658384918947316,11487.0,0.0299353081384664,0,61
351.06379249912374,156.5864002804066,311.8432390145856,3.406865092449262,0.0479612538671533,5.79309206721803,7702.0,0.0688949078491678,0,69
353.80800222283966,340.0337593776049,786.7674849025543,3.4720933260012394,0.0058165754844966,12.351309501804478,9938.0,0.0389491755527369,0,70
513.9933110367894,256.48357269329136,555.590320333382,3.2439049825337456,0.2764167063566674,12.897827621353349,6022.0,0.163127599511711,0,93
533.9839816933638,83.17391304347827,286.5941018914278,3.495884035101886,0.0439602448522185,5.465181195488707,7481.0,0.0745607915088879,0,102
550.0225440184302,914.3075530689486,664.2381224996975,3.053739510155725,0.4244370458004364,21.42351028631573,7691.0,0.0691564793537097,0,105
562.0385795703638,968.093380096449,249.3215661381948,3.3780501991151963,0.078994394875498,4.918663075939836,7799.0,0.0666712141388689,0,106
89.9750822755054,430.9010343206394,439.419171850666,3.069826768611004,0.3956011577238171,13.221827455779325,6083.0,0.1555716798326921,1,12
102.12813211845102,443.0413819286256,544.1608362269178,3.3632014162305466,0.105581933376365,10.329552699827598,7716.0,0.0700909089682259,1,13
224.0367626502656,347.726586525021,738.9762001456663,3.1902449507773385,0.2959955061127143,17.66353511670519,6646.0,0.1095217238923062,1,40
271.2975560081466,261.7136456211813,507.1810375615351,3.4031553586505594,0.0402774244988895,9.606484010839663,8553.0,0.0546889282720214,1,45
275.94011863877614,921.657071495473,1654.2778648773897,3.4870349941268697,0.0079519026838774,24.37774437159313,12753.0,0.0260094928030694,1,47
298.40514390691976,461.76264543784447,843.4079779409234,3.4252404137845422,0.0585325242615588,14.461373779758636,10020.0,0.0394825767256114,1,54
301.0414287805592,5.125603864734299,705.6117449252232,3.323855652076739,0.093560667113196,13.11853192878105,10236.0,0.0379297285858895,1,55
317.9569018879604,67.82753017641598,1334.9913909257186,3.430771777030997,0.023445945687544,21.38217408864313,11907.0,0.0290813958625265,1,61
355.0088731144632,156.06359065365277,349.24217678117105,3.521892489567865,0.0748947383305121,5.991140565900007,7902.0,0.065962687482432,1,69
355.740691840507,339.98719302878266,782.3603214849422,3.5030825009105766,0.0267366440476071,11.672394550805183,9985.0,0.0397462460833876,1,70
515.1276998863206,257.4660856384994,545.1937914969006,3.170953335346494,0.2636476366366833,13.015236401782774,6287.0,0.135003504620777,1,93
532.8395704523267,83.27074520013016,317.4271544657021,3.416571091237146,0.0347193284504869,6.197731619896559,7658.0,0.0714859939308478,1,102
556.9849732697587,916.8939459615664,714.908342355068,3.138888729057258,0.3933536989659589,19.21296802167933,7732.0,0.0697155890715638,1,105
562.9203043652383,966.847817380857,257.9289309146951,3.3964456438479824,0.0384531007990613,4.958185295917247,7872.0,0.0665953226578722,1,106
90.27857142857142,430.7809523809524,454.3824343903265,3.111881990662487,0.3705494301759473,14.496963382929463,6320.0,0.1658194831860963,2,12
103.29586563307494,441.4681309216193,502.4171488830182,3.350537000424629,0.1527976187094675,9.9531390390262,7365.0,0.0976447341259536,2,13
222.14489446662864,347.53508271534514,758.6022928440404,3.2349524393188345,0.3094041256574666,18.39166996341798,6327.0,0.1650475750504585,2,40
273.0833990536278,258.98619873817034,548.7208826732706,3.47815966241114,0.0736548975680187,9.736766451221284,8883.0,0.0611336989776023,2,45
