y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
90.84548892490545,430.0267423014587,404.6420157139839,3.1263246787175687,0.350030540775914,12.13270225398493,5795.0,0.20011049546057091,0,12
102.12086637014117,443.2270353896732,565.2090392374421,3.37878189377031,0.1275306280210659,10.383844271428543,7706.0,0.06880028084915649,0,13
220.15696166042088,347.24560392043816,758.348542686013,3.2355183265073,0.3513399438772391,18.363008816842058,6356.0,0.12825237107958848,0,40
268.2400410677618,257.99096509240246,532.3086484406001,3.4946424233891413,0.08213927316557042,8.307075417142835,8817.0,0.04980154096625831,0,45
273.32109046907254,922.7104420243434,1535.606612308417,3.465632083338209,0.02724430682319046,23.17236826887212,12429.0,0.026242046447143973,0,47
296.31115713176285,461.8115454310122,844.479798326915,3.4495738762226087,0.08376754764221725,14.53738197999996,10117.0,0.03763947327349423,0,54
300.82663104611925,7.706130483689539,777.3673732463137,3.469921372410139,0.014657863206743008,12.460613125714252,10234.0,0.03682998841974379,0,55
314.3439242859557,69.84434679736353,1293.4990853482673,3.441267025763338,0.005892641971773073,20.658384918947313,11487.0,0.02993530813846641,0,61
351.06379249912374,156.5864002804066,311.8432390145856,3.406865092449262,0.04796125386715337,5.79309206721803,7702.0,0.06889490784916782,0,69
353.80800222283966,340.0337593776049,786.7674849025543,3.4720933260012394,0.005816575484496693,12.351309501804478,9938.0,0.03894917555273699,0,70
513.9933110367894,256.48357269329136,555.590320333382,3.2439049825337456,0.2764167063566674,12.897827621353349,6022.0,0.16312759951171105,0,93
533.9839816933638,83.17391304347827,286.5941018914278,3.495884035101886,0.043960244852218576,5.465181195488707,7481.0,0.07456079150888796,0,102
550.0225440184302,914.3075530689486,664.2381224996975,3.053739510155725,0.42443704580043645,21.423510286315732,7691.0,0.0691564793537097,0,105
562.0385795703638,968.093380096449,249.3215661381948,3.3780501991151963,0.07899439487549809,4.918663075939836,7799.0,0.0666712141388689,0,106
89.9750822755054,430.9010343206394,439.41917185066603,3.0698267686110037,0.3956011577238171,13.221827455779325,6083.0,0.1555716798326921,1,12
102.12813211845102,443.04138192862564,544.1608362269178,3.3632014162305466,0.10558193337636505,10.329552699827598,7716.0,0.07009090896822594,1,13
224.0367626502656,347.726586525021,738.9762001456663,3.1902449507773385,0.2959955061127143,17.66353511670519,6646.0,0.10952172389230627,1,40
271.2975560081466,261.7136456211813,507.18103756153505,3.4031553586505594,0.0402774244988895,9.606484010839665,8553.0,0.0546889282720214,1,45
275.94011863877614,921.657071495473,1654.2778648773897,3.4870349941268697,0.007951902683877419,24.37774437159313,12753.0,0.02600949280306941,1,47
298.40514390691976,461.76264543784447,843.4079779409234,3.4252404137845422,0.05853252426155882,14.461373779758636,10020.0,0.039482576725611486,1,54
301.0414287805592,5.125603864734299,705.6117449252232,3.323855652076739,0.09356066711319604,13.11853192878105,10236.0,0.03792972858588957,1,55
317.9569018879604,67.82753017641598,1334.9913909257186,3.430771777030997,0.02344594568754409,21.382174088643126,11907.0,0.029081395862526584,1,61
355.0088731144632,156.06359065365277,349.24217678117105,3.521892489567865,0.07489473833051216,5.9911405659000065,7902.0,0.06596268748243209,1,69
355.740691840507,339.98719302878266,782.3603214849422,3.5030825009105766,0.026736644047607196,11.672394550805185,9985.0,0.03974624608338767,1,70
515.1276998863206,257.4660856384994,545.1937914969006,3.170953335346494,0.26364763663668334,13.015236401782774,6287.0,0.13500350462077704,1,93
532.8395704523267,83.27074520013016,317.4271544657021,3.416571091237146,0.03471932845048696,6.197731619896559,7658.0,0.07148599393084788,1,102
556.9849732697587,916.8939459615663,714.908342355068,3.138888729057258,0.3933536989659589,19.21296802167933,7732.0,0.0697155890715638,1,105
562.9203043652383,966.847817380857,257.9289309146951,3.3964456438479824,0.03845310079906138,4.9581852959172465,7872.0,0.0665953226578722,1,106
90.27857142857142,430.7809523809524,454.3824343903265,3.111881990662487,0.3705494301759473,14.496963382929465,6320.0,0.16581948318609638,2,12
103.29586563307494,441.4681309216193,502.4171488830182,3.350537000424629,0.15279761870946756,9.953139039026201,7365.0,0.09764473412595363,2,13
222.14489446662864,347.53508271534514,758.6022928440404,3.2349524393188345,0.30940412565746667,18.39166996341798,6327.0,0.1650475750504585,2,40
273.0833990536278,258.98619873817034,548.7208826732706,3.47815966241114,0.07365489756801871,9.736766451221284,8883.0,0.06113369897760236,2,45
276.04787520172135,922.4778106508876,1608.9465629173658,3.4425665019712968,0.023265080071524367,24.558288715858126,12512.0,0.032279209103132755,2,47
300.1046367468386,461.6605504587156,872.6306466172318,3.4402195191146587,0.047672788008583905,13.956031913417172,10115.0,0.0469007713634878,2,54
303.0275285171103,5.218555133079848,711.324882408666,3.3495927906415535,0.10106839813116761,12.008678623172916,10342.0,0.044971615979595515,2,55
317.82369349413403,65.15194027401756,1318.6827363770692,3.4558618862233312,0.036436019985358406,20.447209547564693,12227.0,0.03352176963748462,2,61
352.22472860566756,340.6317496122938,767.3653826501395,3.462595439682318,0.012627084332429116,12.116864917075375,9720.0,0.05068407764818612,2,70
355.8147423352903,158.68069145466404,331.69917710493837,3.474208390408807,0.02848088647710947,5.625687282927853,7725.0,0.08553051834473284,2,69
