y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
278.7996031746032,704.1633597883598,102.79765549766468,3.197634707853248,0.21713649561985027,3.127441900061227,9504.0,0.268720453690131,41,1033
277.2986512524085,698.5549132947976,112.89300092430219,3.213151363182753,0.21213098773930533,3.1902967505904276,9565.0,0.36145260669410784,42,1033
275.7405140758874,697.7399020807834,105.66581061293732,3.2322389176935284,0.3654937489653088,3.104014020453483,9614.0,0.4799212667635398,47,1033
276.19261053906723,697.3391883706844,104.5638005147265,2.9167741031812,0.06036980821114991,3.16668081510377,9615.0,0.2094892741436527,48,1033
279.1923076923077,659.9220231822972,132.4577435578593,3.380427766747279,0.17745476581699374,3.280038960600309,9888.0,0.23722418493919192,51,1261
277.17170495767834,661.456469165659,124.50493565494399,3.232337364316938,0.10979308122631842,3.1615521750348536,9795.0,0.4077492925270318,52,1261
276.0853658536585,674.7291399229782,124.52279884734929,3.3576880914761222,0.1768578300810222,3.276915759140771,9708.0,0.5539335459361349,53,1261
283.44954128440367,688.801693719125,113.25340562688957,3.270556831813196,0.32544822681806435,2.8772918860748233,9544.0,0.9812844115400176,53,1033
283.0289855072464,688.3144297416509,122.16646034111157,3.200602495266042,0.14820013152742167,3.618036317600658,9698.0,0.28844996436699594,54,1033
285.5927396483267,684.840045377198,121.61430658088035,3.47652364814627,0.03524712120131466,3.173146966942993,9796.0,0.26098100206894104,55,1033
284.72860360360363,671.1942567567568,112.24978963593769,3.2079750004642498,0.015352983601068739,2.8441669671267995,9800.0,0.4873863221038697,56,1261
291.8704893722195,691.0425111220959,127.86110609994478,3.177404157862574,0.23812846447367628,3.413000360552159,9503.0,13.906909296208852,56,1033
280.69653767820773,661.5431093007468,209.92798099549515,3.2600567677555032,0.2229344302072977,5.486916000221699,10161.0,0.2907479454245327,57,1261
283.5119202427395,689.1153012570438,164.3937040585904,3.2201414244157,0.12793546344921902,4.061743013151128,9626.0,0.8704611787577714,57,1033
278.5841281953453,672.072872949256,174.2834460732432,3.362324644139916,0.13305666745210668,4.122691208142342,9960.0,0.5507986350915384,58,1261
